t_s,I_A,SOC_static,Vt_static_V,SOC_dynamic,Vt_dynamic_V,V1_V,V2_V
2257.0,100.0,0.6605877616747191,12.792819702522642,0.6605877616747191,12.796277228579532,0.0034999999132959087,0.0030424740298127958
2258.0,100.0,0.6603864734299526,12.792725892941768,0.6603864734299526,12.7961776612506,0.003499999917524517,0.0030482317736437708
2259.0,100.0,0.6601851851851861,12.792632083360893,0.6601851851851861,12.796078103510121,0.0034999999215468936,0.003053979929227453
2260.0,100.0,0.6599838969404196,12.792538729591751,0.6599838969404196,12.795979011153849,0.0034999999253730965,0.003059718512530945
2261.0,100.0,0.6597826086956531,12.792450617657536,0.6597826086956531,12.79588517018903,0.0034999999290126933,0.00306544753949476
2262.0,100.0,0.6595813204508866,12.792362505723322,0.6595813204508866,12.795791338764815,0.003499999932474785,0.0030711670260328647
2263.0,100.0,0.6593800322061201,12.792274393789105,0.6593800322061201,12.795697516865305,0.0034999999357680283,0.003076876988032726
2264.0,100.0,0.6591787439613536,12.792186281854892,0.6591787439613536,12.795603704474635,0.0034999999389006583,0.0030825774413553533
2265.0,100.0,0.6589774557165871,12.792098169920678,0.6589774557165871,12.795509901576962,0.003499999941880508,0.0030882684018353423
2266.0,100.0,0.6587761674718206,12.792010057986461,0.6587761674718206,12.795416108156465,0.003499999944715029,0.0030939498852809205
2267.0,100.0,0.658574879227054,12.791921946052247,0.658574879227054,12.795322324197361,0.003499999947411309,0.00309962190747399
2268.0,100.0,0.6583735909822875,12.791833834118034,0.6583735909822875,12.795228549683886,0.0034999999499760893,0.0031052844841701712
2269.0,100.0,0.658172302737521,12.791745722183817,0.658172302737521,12.795134784600302,0.003499999952415784,0.003110937631098848
2270.0,100.0,0.6579710144927545,12.791657610249603,0.6579710144927545,12.795041028930902,0.0034999999547364936,0.0031165813639632096
2271.0,100.0,0.657769726247988,12.791569498315386,0.657769726247988,12.794947282660004,0.0034999999569440207,0.003122215698440296
2272.0,100.0,0.6575684380032215,12.791481386381173,0.6575684380032215,12.794853545771948,0.0034999999590438853,0.003127840650181039
2273.0,100.0,0.657367149758455,12.791393274446959,0.657367149758455,12.794759818251107,0.0034999999610413383,0.003133456234810309
2274.0,100.0,0.6571658615136885,12.791305162512742,0.6571658615136885,12.794666100081875,0.0034999999629413744,0.003139062467926955
2275.0,100.0,0.656964573268922,12.791217050578528,0.656964573268922,12.794572391248675,0.0034999999647487446,0.0031446593651038514
2276.0,100.0,0.6567632850241555,12.791128938644315,0.6567632850241555,12.794478691735959,0.0034999999664679683,0.0031502469418879376
2277.0,100.0,0.656561996779389,12.791040826710098,0.656561996779389,12.794385001528195,0.0034999999681033446,0.003155825213800264
2278.0,100.0,0.6563607085346225,12.790952714775884,0.6563607085346225,12.794291320609888,0.0034999999696589627,0.003161394196336034
2279.0,100.0,0.656159420289856,12.790864602841669,0.656159420289856,12.794197648965566,0.003499999971138712,0.0031669539049646468
2280.0,100.0,0.6559581320450895,12.790776490907454,0.6559581320450895,12.794103986579778,0.0034999999725462937,0.0031725043551297416
2281.0,100.0,0.655756843800323,12.79068837897324,0.655756843800323,12.794010333437106,0.0034999999738852265,0.003178045562249239
2282.0,100.0,0.6555555555555564,12.790600267039023,0.6555555555555564,12.79391668952215,0.0034999999751588588,0.0031835775417153843
2283.0,100.0,0.6553542673107899,12.79051215510481,0.6553542673107899,12.793823054819546,0.0034999999763703753,0.0031891003088947907
2284.0,100.0,0.6551529790660234,12.790424043170596,0.6551529790660234,12.793729429313945,0.0034999999775228055,0.0031946138791284816
2285.0,100.0,0.6549516908212569,12.79033593123638,0.6549516908212569,12.79363581299003,0.003499999978619031,0.003200118267731934
2286.0,100.0,0.6547504025764904,12.790247819302165,0.6547504025764904,12.793542205832509,0.003499999979661793,0.003205613489995119
2287.0,100.0,0.6545491143317239,12.790159707367952,0.6545491143317239,12.793448607826114,0.0034999999806536986,0.003211099561182547
2288.0,100.0,0.6543478260869574,12.790071595433735,0.6543478260869574,12.793355018955603,0.0034999999815972286,0.0032165764965333076
2289.0,100.0,0.6541465378421909,12.78998348349952,0.6541465378421909,12.793261439205764,0.003499999982494742,0.0032220443112611144
2290.0,100.0,0.6539452495974244,12.789895371565304,0.6539452495974244,12.793167868561403,0.0034999999833484835,0.0032275030205543447
2291.0,100.0,0.6537439613526579,12.789807259631091,0.6537439613526579,12.793074307007354,0.0034999999841605874,0.0032329526395760834
2292.0,100.0,0.6535426731078914,12.789719147696877,0.6535426731078914,12.792980754528479,0.0034999999849330845,0.0032383931834641644
2293.0,100.0,0.6533413848631249,12.78963103576266,0.6533413848631249,12.792887211109662,0.0034999999856679064,0.0032438246673312135
2294.0,100.0,0.6531400966183584,12.789542923828446,0.6531400966183584,12.792793676735814,0.0034999999863668907,0.003249247106264689
2295.0,100.0,0.6529388083735919,12.789454811894233,0.6529388083735919,12.792700151391875,0.003499999987031785,0.003254660515326925
2296.0,100.0,0.6527375201288254,12.789366699960016,0.6527375201288254,12.792606635062796,0.003499999987664252,0.003260064909555173
2297.0,100.0,0.6525362318840588,12.789278588025802,0.6525362318840588,12.792513127733574,0.0034999999882658734,0.0032654603039616414
2298.0,100.0,0.6523349436392923,12.789190476091587,0.6523349436392923,12.792419629389215,0.0034999999888381535,0.0032708467135335413
2299.0,100.0,0.6521336553945258,12.789102364157372,0.6521336553945258,12.792326140014758,0.003499999989382523,0.0032762241532331244
2300.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.153507629179973,0.0034999999899003433,0.003281592637997727
2301.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.153683790959557,0.0033293029761454086,0.003276127872170912
2302.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.153851618647183,0.0031669309539873115,0.003270672206701404
2303.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.154011518272643,0.0030124779087948475,0.003265225626434573
2304.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.154163876064128,0.0028655576275040374,0.0032597881162410264
2305.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.154309059413972,0.002725802732884297,0.0032543596610165653
2306.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.154447417797286,0.0025928637649040034,0.003248940245682144
2307.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.154579283645791,0.0024664083068983897,0.0032435298551838276
2308.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.154704973179024,0.0023461201543547357,0.00323812847449275
2309.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15482478719503,0.0022316985242363816,0.003232736088605073
2310.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.154939011822462,0.002122857302868466,0.0032273526825419424
2311.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.155047919236019,0.002019324330504709,0.00322197824134945
2312.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.155151768336989,0.001920840720786284,0.0032166127500985885
2313.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.155250805400595,0.0018271602133910737,0.003211256193885212
2314.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.155345264691789,0.0017380485582545928,0.003205908557829995
2315.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.155435369050972,0.0016532829298228121,0.0032005698270783883
2316.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.155521330451199,0.001572651369872208,0.0031952399868005817
2317.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.155603350528178,0.0014959522575037998,0.00318991902219146
2318.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.155681621084415,0.0014229938049858835,0.0031846069184705617
2319.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.155756324568804,0.0013535935781848031,0.0031793036608820406
2320.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.155827634532793,0.0012875780403845925,0.0031740092346946216
2321.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.155895716064316,0.001224782118354793,0.003168723625201562
