SOC,OCV_V,Reff_Ohm,Reff_mOhm,R0_Ohm,R1_Ohm,C1_F,R2_Ohm,C2_F,tau1_s,tau2_s,LocalFit_R2
0.05,12.21201407657518,0.010120794287527067,10.120794287527067,0.005,0.0017922780006344734,11158.983144869224,0.0033285162868925936,180260.49695557976,20.0,600.0,0.9689029155465797
0.06,12.373044112553183,0.00957124471683218,9.57124471683218,0.005,0.0015999356508912628,12500.50274763161,0.002971309065940917,201931.19823097216,20.0,600.0,0.9626932390980475
0.07,12.491763845477447,0.008977803559578824,8.977803559578824,0.005,0.0013922312458525881,14365.429636476953,0.0025855723137262355,232056.94028155075,20.0,600.0,0.9720259269515599
0.08,12.560142843914036,0.008369057673138804,8.369057673138805,0.005,0.0011791701855985814,16961.080125891593,0.0021898874875402228,273986.6789567103,20.0,600.0,0.9706138066880559
0.09,12.618298262775241,0.007799530740510105,7.7995307405101055,0.005,0.0009798357591785367,20411.58409728521,0.0018196949813315685,329725.58926383796,20.0,600.0,0.9717399134105711
0.09999999999999999,12.644319412026713,0.007037618314119856,7.037618314119856,0.005,0.0007131664099419494,28043.945594167802,0.0013244519041779063,453017.58267501823,20.0,600.0,0.982866385270846
0.10999999999999999,12.67135685848854,0.006440822988308344,6.440822988308343,0.005,0.0005042880459079202,39659.873285300666,0.0009365349424004234,640659.4915317799,20.0,600.0,0.9884922740021834
0.12,12.67823553508728,0.005812868872579631,5.812868872579631,0.005,0.00028450410540287066,70297.75535814886,0.0005283647671767599,1135579.1250162506,20.0,600.0,0.9906439284164361
0.13,12.690192939516743,0.005342111807909322,5.342111807909322,0.005,0.00011973913276826265,167029.77161783053,0.00022237267514105922,2698173.2338264934,20.0,600.0,0.9940054172258314
0.13999999999999999,12.715903352023544,0.005175509096461072,5.175509096461072,0.005,6.142818376137509e-05,325583.4500608438,0.00011408091269969659,5259424.962521323,20.0,600.0,0.9904622546186811
0.14999999999999997,12.743046351555684,0.005016337910084404,5.016337910084403,0.0049163379100844035,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9868704554720371
0.15999999999999998,12.770303353431187,0.004871906167777128,4.871906167777127,0.0047719061677771275,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.986231635364846
0.16999999999999998,12.78998082308467,0.004676824245808272,4.676824245808271,0.0045768242458082715,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.986575574011576
0.18,12.808222311210756,0.004480201052313205,4.4802010523132045,0.004380201052313204,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9883626394060308
0.19,12.830392380390434,0.0044008911237274,4.4008911237274,0.0043008911237274,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9922595417804071
0.19999999999999996,12.849710768377395,0.004325347178058268,4.325347178058268,0.004225347178058268,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9916453532408203
0.20999999999999996,12.864830485366682,0.004228605296373335,4.228605296373335,0.004128605296373334,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9913077626722073
0.21999999999999997,12.879296518270895,0.0041419018831389395,4.14190188313894,0.004041901883138939,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9912520542840885
0.22999999999999998,12.89367356560397,0.004055851119371323,4.055851119371323,0.0039558511193713225,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9908347049513596
0.24,12.91015854166242,0.00404582647649782,4.04582647649782,0.00394582647649782,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9913075812374307
0.24999999999999994,12.925579269276248,0.004048029448286664,4.0480294482866634,0.0039480294482866635,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9928847487565433
0.25999999999999995,12.939340037457413,0.004037608301923755,4.037608301923755,0.003937608301923755,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9943562376076052
0.26999999999999996,12.953100805638568,0.004027187155560845,4.027187155560846,0.003927187155560845,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9955774656348171
0.27999999999999997,12.966412261944507,0.004021798468364327,4.021798468364327,0.003921798468364327,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9958228264757265
0.29,12.97796975247849,0.004016091723212918,4.016091723212917,0.0039160917232129175,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9950506011122601
0.3,12.989899934154165,0.004013239582891532,4.013239582891532,0.003913239582891532,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9941010420924905
0.30999999999999994,13.000989111086406,0.004006090340699714,4.006090340699713,0.0039060903406997137,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9926902490028471
0.31999999999999995,13.012597298475209,0.004013352362035089,4.013352362035089,0.003913352362035089,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9913906295917886
0.32999999999999996,13.023738657910922,0.004032271583401073,4.032271583401073,0.0039322715834010724,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9909562084260852
0.33999999999999997,13.031651414622418,0.004022420710788087,4.0224207107880865,0.003922420710788087,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.991444758713356
0.3499999999999999,13.038083128390209,0.003999048358755009,3.999048358755009,0.0038990483587550092,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9920811509059899
0.35999999999999993,13.044714485711012,0.003989950885287716,3.9899508852877164,0.0038899508852877165,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9925401867599701
0.36999999999999994,13.049509545704685,0.003971992484906195,3.971992484906195,0.003871992484906195,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9930516315420463
0.37999999999999995,13.05415251956483,0.003952738167370339,3.952738167370339,0.003852738167370339,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9935290844807264
0.38999999999999996,13.058795493424988,0.003933483849834536,3.933483849834536,0.003833483849834536,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9939442614739458
0.3999999999999999,13.062261352986276,0.0039028261484395886,3.9028261484395887,0.0038028261484395888,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.994672025871885
0.4099999999999999,13.065203449039199,0.0038710716169283598,3.8710716169283597,0.00377107161692836,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9949268537830125
0.41999999999999993,13.068431379119023,0.0038461219031789918,3.8461219031789917,0.003746121903178992,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9951039800655352
0.42999999999999994,13.072069725297949,0.0038297272029483467,3.8297272029483467,0.003729727202948347,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9953574171048917
0.43999999999999995,13.076029849198848,0.0038164497487528084,3.8164497487528086,0.0037164497487528086,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9955099666204824
0.4499999999999999,13.080571253645566,0.0038088034938386726,3.808803493838673,0.0037088034938386727,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.995544163612782
0.4599999999999999,13.085041296282382,0.0038027698618694943,3.8027698618694945,0.0037027698618694945,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9956061422923353
0.4699999999999999,13.088213207700726,0.003787871628719911,3.7878716287199112,0.0036878716287199113,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9959435671628961
0.4799999999999999,13.091265078863117,0.0037718104965057016,3.7718104965057018,0.0036718104965057017,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9962488650717229
0.48999999999999994,13.094010803701032,0.003753964916648976,3.753964916648976,0.0036539649166489763,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.996439563957655
0.49999999999999994,13.096734283134023,0.003736282491913302,3.7362824919133018,0.003636282491913302,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9965619370144034
0.5099999999999999,13.099457762567035,0.003718600067177814,3.718600067177814,0.003618600067177814,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9966564041116274
0.5199999999999999,13.10212128000043,0.0037030903281624282,3.7030903281624283,0.0036030903281624284,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9968661853031151
0.5299999999999999,13.104562735478936,0.003685192556809236,3.6851925568092363,0.0035851925568092364,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9972126464283426
0.5399999999999999,13.107053909105428,0.0036675488196316413,3.6675488196316413,0.0035675488196316415,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.997550966840238
0.5499999999999999,13.110095552130982,0.00365459560039067,3.65459560039067,0.00355459560039067,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9978440543271623
0.5599999999999999,13.113433482378573,0.0036443753572651238,3.644375357265124,0.003544375357265124,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9981065188491753
0.57,13.117283647768435,0.003641278864265802,3.6412788642658023,0.0035412788642658023,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9983676453984879
0.58,13.121293653683669,0.003639522846675881,3.639522846675881,0.003539522846675881,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9985881873997045
0.59,13.125655419492713,0.0036395641413002524,3.6395641413002524,0.0035395641413002526,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9988726013270933
0.6,13.130971287220191,0.003648521479493058,3.6485214794930583,0.0035485214794930583,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9989878227512167
0.61,13.137320947544627,0.0036673829638436844,3.6673829638436843,0.0035673829638436846,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9989406298081751
0.62,13.143513308127446,0.0036873981362715988,3.687398136271599,0.003587398136271599,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.998726333050125
0.63,13.149250296607724,0.003701581768959688,3.701581768959688,0.003601581768959688,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9981290633835385
0.6399999999999999,13.154800933128241,0.0037100944303907818,3.710094430390782,0.003610094430390782,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9972855716862
0.6499999999999999,13.159397769322158,0.003712293916674641,3.712293916674641,0.003612293916674641,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9961745197582387
0.6599999999999999,13.164011035935724,0.003714652573892361,3.714652573892361,0.003614652573892361,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.994848075254684
0.6699999999999999,13.168822213634105,0.0037161597510975914,3.7161597510975914,0.0036161597510975915,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9936556156066493
0.6799999999999999,13.174115145795092,0.0037253805661448245,3.7253805661448247,0.0036253805661448247,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9928764321353833
0.69,13.179494236751136,0.003742526205913391,3.742526205913391,0.003642526205913391,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9924367233242054
0.7,13.185249255638448,0.0037623076739019675,3.7623076739019674,0.0036623076739019677,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9922906679655759
0.71,13.191370034763384,0.0037842484433555637,3.7842484433555637,0.003684248443355564,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9922890486495793
0.72,13.197925086245693,0.0038084081212917532,3.808408121291753,0.0037084081212917534,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9925603025501321
0.73,13.204363217566563,0.0038259459375605044,3.8259459375605043,0.0037259459375605045,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9925195353541402
0.74,13.211271164498116,0.0038493845675359652,3.849384567535965,0.0037493845675359654,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.991945653592757
0.7499999999999999,13.218393531219041,0.0038764177544953855,3.8764177544953853,0.0037764177544953857,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9909816677512114
0.7599999999999999,13.225515897939976,0.0039034509414548326,3.9034509414548326,0.003803450941454833,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9898714417833172
0.7699999999999999,13.231680391245783,0.003931552247721955,3.9315522477219553,0.0038315522477219556,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9890339853698751
0.7799999999999999,13.237579372467684,0.003960166814775572,3.960166814775572,0.003860166814775572,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9883763539520655
0.7899999999999999,13.243402265677458,0.003988044273453021,3.988044273453021,0.0038880442734530213,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9877439522048485
0.7999999999999999,13.249352098039536,0.00401499071860759,4.0149907186075895,0.003914990718607589,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9874756382738377
0.8099999999999999,13.254436991189879,0.004034723901847981,4.034723901847982,0.003934723901847981,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9873911306355374
0.82,13.256987829175198,0.004031465553763064,4.031465553763064,0.0039314655537630635,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9882942737564677
0.83,13.259318080656573,0.004026070257226221,4.026070257226221,0.003926070257226221,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9892627540662945
0.84,13.261648332137945,0.004020674960689297,4.0206749606892975,0.003920674960689297,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9901814322877357
0.8499999999999999,13.26421481264182,0.004017464782400471,4.017464782400471,0.003917464782400471,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9909697961945765
0.8599999999999999,13.266899608032409,0.004007200947026457,4.007200947026457,0.003907200947026457,3.500000000000009e-05,571428.57142857,6.500000000000017e-05,9230769.230769206,20.0,600.0,0.9910950916296867
0.8699999999999999,13.269205021825558,0.00398696838616375,3.98696838616375,0.00388696838616375,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9909511823997661
0.8799999999999999,13.271510435618712,0.003966735825301016,3.966735825301016,0.003866735825301016,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9907855527010623
0.8899999999999999,13.273831174121042,0.003946651723718304,3.9466517237183036,0.003846651723718304,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9905905490537851
0.8999999999999999,13.277216188757313,0.003936152926418273,3.936152926418273,0.003836152926418273,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.99117846575279
0.9099999999999999,13.281137450214494,0.003933239693549162,3.9332396935491625,0.0038332396935491625,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9923662872188341
0.9199999999999999,13.28505871167168,0.003930326460680079,3.930326460680079,0.003830326460680079,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.993423812543137
0.9299999999999999,13.288046580931242,0.0039124405206678,3.9124405206678,0.0038124405206678004,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9942499378845923
0.94,13.289359472563456,0.003863367150910702,3.863367150910702,0.003763367150910702,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9938262029699453
0.95,13.290258898198866,0.0038104537985887248,3.810453798588725,0.003710453798588725,3.5e-05,571428.5714285715,6.500000000000001e-05,9230769.23076923,20.0,600.0,0.9935333359224007
