RemovedCurve,Current_A,RMSE_V,MAE_V,MaxAbsError_V,Bias_V,Method
C/8,17.25,0.0365203225137226,0.0280491475348921,0.132394985093432,0.0280491475348921,weightedlocal
C/5,27.6,0.0130370969458739,0.00843228713017802,0.064493045071039,0.00828717609579837,weightedlocal
C/3,46,0.0225872842875476,0.0135195309073226,0.108609733071184,-0.0135147575996214,weightedlocal
C/2,69,0.0434135411662499,0.0352149694463441,0.146334437569225,-0.0352149694463441,weightedlocal
1C,138,0.131544434569985,0.103391187538201,0.466273604388652,0.103391187538201,weightedlocal
