SOC,OCV_V,Reff_Ohm,Reff_mOhm,R0_Ohm,R1_Ohm,C1_F,R2_Ohm,C2_F
0.19,12.8340857049127,0.00442165141752564,4.42165141752564,0.00432165141752564,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.2,12.8524238282068,0.00434314745966229,4.34314745966229,0.00424314745966229,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.21,12.8686985188499,0.00425986523725928,4.25986523725928,0.00415986523725928,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.22,12.8830623699877,0.00416205943941003,4.16205943941003,0.00406205943941003,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.23,12.8972002012719,0.00408578287926198,4.08578287926198,0.00398578287926198,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.24,12.9123055538829,0.00405630613061525,4.05630613061525,0.00395630613061525,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.25,12.9275343310693,0.00404753218709643,4.04753218709643,0.00394753218709643,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.26,12.9421393083896,0.00404706750532906,4.04706750532906,0.00394706750532906,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.27,12.9557712387895,0.00404727638289581,4.04727638289581,0.00394727638289581,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.28,12.9682366864583,0.00404140406101934,4.04140406101934,0.00394140406101934,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.29,12.9801468473999,0.0040311550109857,4.0311550109857,0.0039311550109857,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.3,12.9926865644396,0.00403089223926852,4.03089223926852,0.00393089223926852,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.31,13.0056121426136,0.00404218593890935,4.04218593890935,0.00394218593890935,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.32,13.0177339245754,0.00405815543869968,4.05815543869968,0.00395815543869968,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.33,13.0274708655692,0.00406211472020188,4.06211472020188,0.00396211472020187,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.34,13.0351905580861,0.0040537622162318,4.0537622162318,0.0039537622162318,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.35,13.0417629795846,0.00403903534054024,4.03903534054024,0.00393903534054024,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.36,13.0473864408746,0.00401948422631496,4.01948422631496,0.00391948422631496,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.37,13.0523261785745,0.00399754218045926,3.99754218045926,0.00389754218045926,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.38,13.0565756129283,0.00397249763635667,3.97249763635667,0.00387249763635667,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.39,13.0602293798241,0.00394490336116406,3.94490336116406,0.00384490336116406,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.4,13.0634054700838,0.00391551527003834,3.91551527003834,0.00381551527003834,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.41,13.0663681933299,0.00388629953475546,3.88629953475546,0.00378629953475546,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.42,13.0695156334781,0.00386033643923719,3.86033643923719,0.00376033643923719,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.43,13.0732069337229,0.00384181689975188,3.84181689975188,0.00374181689975188,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.44,13.0774184724211,0.00383055836266056,3.83055836266056,0.00373055836266056,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.45,13.081894416051,0.00382396308318227,3.82396308318227,0.00372396308318227,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.46,13.0860136515659,0.00381590179016952,3.81590179016952,0.00371590179016952,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.47,13.089551583661,0.00380393399670783,3.80393399670784,0.00370393399670784,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.48,13.0925613735975,0.00378789318254465,3.78789318254465,0.00368789318254465,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.49,13.0953201955424,0.0037703336688297,3.7703336688297,0.0036703336688297,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.5,13.0979647957018,0.00375271807659243,3.75271807659243,0.00365271807659243,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.51,13.1005427728223,0.00373514092233828,3.73514092233828,0.00363514092233828,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.52,13.102979483549,0.00371656438892895,3.71656438892895,0.00361656438892895,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.53,13.1052482423564,0.00369655900370499,3.69655900370499,0.00359655900370499,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.54,13.107566953711,0.00367728449300554,3.67728449300554,0.00357728449300554,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.55,13.1102256589085,0.00366131101228637,3.66131101228637,0.00356131101228637,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.56,13.1134217808596,0.00365039148514905,3.65039148514905,0.00355039148514905,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.57,13.1171859285529,0.00364472627905969,3.64472627905969,0.00354472627905969,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.58,13.1213585518458,0.00364290476876841,3.64290476876841,0.00354290476876841,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.59,13.1260094490391,0.00364548406335141,3.64548406335141,0.00354548406335141,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.6,13.1313032037518,0.00365443561073796,3.65443561073796,0.00355443561073796,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.61,13.1376399348276,0.00367428291626878,3.67428291626878,0.00357428291626878,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.62,13.1442811769328,0.00369842780081636,3.69842780081636,0.00359842780081636,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.63,13.1503613263642,0.00371688294028378,3.71688294028378,0.00361688294028378,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.64,13.1556744533224,0.0037252373253039,3.7252373253039,0.0036252373253039,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.65,13.1604156647225,0.00372713004425705,3.72713004425705,0.00362713004425705,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.66,13.1649512342781,0.00372764462774906,3.72764462774906,0.00362764462774906,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.67,13.1697946914858,0.00373327520883636,3.73327520883636,0.00363327520883636,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.68,13.1750811793461,0.00374663579552509,3.74663579552509,0.00364663579552509,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.69,13.1805723706204,0.00376390156820976,3.76390156820976,0.00366390156820976,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.7,13.186264206977,0.00378313439069204,3.78313439069204,0.00368313439069204,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.71,13.1922726510316,0.00380407321429754,3.80407321429754,0.00370407321429754,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.72,13.1987103606295,0.00382626925819629,3.82626925819629,0.00372626925819629,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.73,13.2054666961883,0.00384792038600791,3.84792038600791,0.00374792038600791,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.74,13.2125004667592,0.00387056881015832,3.87056881015832,0.00377056881015832,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.75,13.220052271431,0.00389928158601074,3.89928158601074,0.00379928158601074,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
